cm,kg
183,75
174,62
174,65
180,60
177,74.5
155,50
174,78
182,90
181,76
159,50
161,48
155,57
175,98
182,70
171,90
144.78,46
183,79
184,70
178,72
172,48
184,67
160,53.8
159,53
168,55
163,65
183,78
174,73
167,75
181,75
171,85
171,65
170,65
163,50
167,45
186,68
