Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
38230,3,0.00935,0.11,23.7
38235,764,2.38E+//0-,1.74,15.7
38237,762,2.38E+//0-,1.74,15.7
38245,10437,3.25E+//0-,6.44,12
38248,165,0.514,0.81,17.9
38249,446,1.39E+//0-,1.33,16.5
38252,3,0.00935,0.11,23.7
38253,2262,7.05E+//0-,3,14.2
38254,7025,2.19E+//0-,5.28,12.5
38256,2,0.00624,0.09,24.3
38259,5,0.0156,0.14,23
38260,8191,2.55E+//0-,5.7,12.3
38268,6211,1.94E+//0-,4.97,12.7
38269,14790,4.61E+//0-,7.66,11.5
38276,1635,5.10E+//0-,2.55,14.6
38278,2,0.00624,0.09,24.3
38282,1604,5.00E+//0-,2.52,14.7
38285,5048,1.57E+//0-,4.48,13
38286,695,2.17E+//0-,1.66,15.9
38296,678,2.11E+//0-,1.64,15.9
38297,330,1.03E+//0-,1.14,16.9
38299,424,1.32E+//0-,1.3,16.6
38300,1387,4.32E+//0-,2.35,14.9
38301,3,0.00935,0.11,23.7
38310,40,0.125,0.4,20
38311,37,0.115,0.38,20.1
38312,39,0.122,0.39,20
38313,6,0.0187,0.15,22.7
38314,16,0.0499,0.25,21.3
