Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,23541,2,0.00624,0.09,24.3
2,23546,6,0.0187,0.15,22.7
2,23548,3,0.00935,0.11,23.7
2,23588,21,0.0655,0.29,20.9
2,23599,2,0.00624,0.09,24.3
2,23624,2,0.00624,0.09,24.3
2,23640,3,0.00935,0.11,23.7
2,23644,3,0.00935,0.11,23.7
2,23650,2,0.00624,0.09,24.3
2,23682,4,0.0125,0.13,23.3
2,23715,107,0.334,0.65,18.6
2,23730,2,0.00624,0.09,24.3
2,23732,4,0.0125,0.13,23.3
2,23798,2,0.00624,0.09,24.3
2,23815,2,0.00624,0.09,24.3
2,23816,2,0.00624,0.09,24.3
2,23821,3,0.00935,0.11,23.7
2,23886,3,0.00935,0.11,23.7
2,23917,2,0.00624,0.09,24.3
2,23918,2,0.00624,0.09,24.3
2,23933,3,0.00935,0.11,23.7
2,23952,2,0.00624,0.09,24.3
2,23957,2,0.00624,0.09,24.3
2,23970,2,0.00624,0.09,24.3
2,23975,2,0.00624,0.09,24.3
2,23995,10,0.0312,0.2,22
2,23996,2,0.00624,0.09,24.3
2,23997,5,0.0156,0.14,23
2,23998,3,0.00935,0.11,23.7
2,23999,2,0.00624,0.09,24.3
2,24001,2,0.00624,0.09,24.3
2,24002,8,0.0249,0.18,22.3
2,24003,2,0.00624,0.09,24.3
2,24004,3,0.00935,0.11,23.7
2,24016,91,0.284,0.6,18.8
2,24018,2,0.00624,0.09,24.3
2,24019,2,0.00624,0.09,24.3
2,24037,99,0.309,0.63,18.7
2,24058,3,0.00935,0.11,23.7
2,24073,2,0.00624,0.09,24.3
2,24076,2,0.00624,0.09,24.3
2,24098,25,0.0779,0.32,20.7
2,24110,2,0.00624,0.09,24.3
2,24112,4,0.0125,0.13,23.3
2,24117,2,0.00624,0.09,24.3
2,24123,2,0.00624,0.09,24.3
2,24135,2,0.00624,0.09,24.3
2,24168,2,0.00624,0.09,24.3
2,24192,3,0.00935,0.11,23.7
2,24193,6,0.0187,0.15,22.7
2,24195,2,0.00624,0.09,24.3
2,24197,2,0.00624,0.09,24.3
2,24198,6,0.0187,0.15,22.7
2,24200,4,0.0125,0.13,23.3
2,24207,3,0.00935,0.11,23.7
2,24218,2,0.00624,0.09,24.3
2,24221,2,0.00624,0.09,24.3
2,24237,1832,5.71E+//0-,2.7,14.5
2,24244,6,0.0187,0.15,22.7
