Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,31206,2,0.00624,0.09,24.3
2,31215,2,0.00624,0.09,24.3
2,31223,2,0.00624,0.09,24.3
2,31240,2,0.00624,0.09,24.3
2,31262,2,0.00624,0.09,24.3
2,31358,2,0.00624,0.09,24.3
2,31360,4,0.0125,0.13,23.3
2,31379,2,0.00624,0.09,24.3
2,31393,2,0.00624,0.09,24.3
2,31410,298,0.929,1.09,17.1
2,31475,2,0.00624,0.09,24.3
2,31485,2,0.00624,0.09,24.3
2,31540,70,0.218,0.53,19.2
2,31560,3,0.00935,0.11,23.7
2,31561,2,0.00624,0.09,24.3
2,31567,4,0.0125,0.13,23.3
2,31571,2,0.00624,0.09,24.3
2,31572,2,0.00624,0.09,24.3
2,31605,2,0.00624,0.09,24.3
2,31611,3,0.00935,0.11,23.7
2,31620,4,0.0125,0.13,23.3
2,31686,2,0.00624,0.09,24.3
2,31698,2,0.00624,0.09,24.3
2,31708,56,0.175,0.47,19.5
2,31780,2,0.00624,0.09,24.3
2,31787,2,0.00624,0.09,24.3
2,31801,2,0.00624,0.09,24.3
2,31808,2,0.00624,0.09,24.3
2,31816,2,0.00624,0.09,24.3
2,31826,2,0.00624,0.09,24.3
2,31829,3,0.00935,0.11,23.7
2,31847,2,0.00624,0.09,24.3
2,31849,2,0.00624,0.09,24.3
2,31897,2,0.00624,0.09,24.3
2,31899,2,0.00624,0.09,24.3
2,31910,3,0.00935,0.11,23.7
2,31936,2,0.00624,0.09,24.3
2,31944,3,0.00935,0.11,23.7
2,31945,3,0.00935,0.11,23.7
2,31958,2,0.00624,0.09,24.3
2,31974,2,0.00624,0.09,24.3
2,31978,2,0.00624,0.09,24.3
2,31982,2,0.00624,0.09,24.3
2,31987,2,0.00624,0.09,24.3
2,32011,2,0.00624,0.09,24.3
2,32068,3,0.00935,0.11,23.7
2,32070,2,0.00624,0.09,24.3
2,32076,3,0.00935,0.11,23.7
2,32090,2,0.00624,0.09,24.3
2,32111,3,0.00935,0.11,23.7
2,32145,4,0.0125,0.13,23.3
2,32155,2,0.00624,0.09,24.3
2,32174,4,0.0125,0.13,23.3
2,32186,5,0.0156,0.14,23
2,32193,3,0.00935,0.11,23.7
2,32200,5,0.0156,0.14,23
2,32219,3,0.00935,0.11,23.7
2,32229,4,0.0125,0.13,23.3
2,32254,2,0.00624,0.09,24.3
2,32273,2,0.00624,0.09,24.3
2,32289,2,0.00624,0.09,24.3
2,32297,2,0.00624,0.09,24.3
2,32304,2,0.00624,0.09,24.3
2,32309,2,0.00624,0.09,24.3
2,32367,2,0.00624,0.09,24.3
2,32425,2,0.00624,0.09,24.3
2,32426,2,0.00624,0.09,24.3
2,32429,2,0.00624,0.09,24.3
2,32435,2,0.00624,0.09,24.3
2,32453,2,0.00624,0.09,24.3
2,32474,2,0.00624,0.09,24.3
2,32490,58,0.181,0.48,19.4
2,32491,5,0.0156,0.14,23
2,32508,2,0.00624,0.09,24.3
2,32525,2,0.00624,0.09,24.3
2,32528,2,0.00624,0.09,24.3
2,32542,2,0.00624,0.09,24.3
2,32563,691,2.15E+//0-,1.66,15.9
2,32577,4,0.0125,0.13,23.3
2,32584,3,0.00935,0.11,23.7
2,32590,5,0.0156,0.14,23
2,32603,2,0.00624,0.09,24.3
2,32634,8,0.0249,0.18,22.3
2,32666,2,0.00624,0.09,24.3
2,32692,1565,4.88E+//0-,2.49,14.7
2,32733,3,0.00935,0.11,23.7
2,32761,5,0.0156,0.14,23
2,32775,2,0.00624,0.09,24.3
2,32781,3,0.00935,0.11,23.7
2,32804,3,0.00935,0.11,23.7
2,32809,2,0.00624,0.09,24.3
2,32836,2,0.00624,0.09,24.3
2,32852,2,0.00624,0.09,24.3
2,32864,3,0.00935,0.11,23.7
2,32867,3,0.00935,0.11,23.7
2,32875,2,0.00624,0.09,24.3
2,32915,4,0.0125,0.13,23.3
2,32956,4,0.0125,0.13,23.3
2,32969,2,0.00624,0.09,24.3
2,32984,2,0.00624,0.09,24.3
2,32992,3,0.00935,0.11,23.7
2,32993,2,0.00624,0.09,24.3
2,33015,2,0.00624,0.09,24.3
2,33030,2,0.00624,0.09,24.3
2,33043,3,0.00935,0.11,23.7
2,33075,2,0.00624,0.09,24.3
2,33111,2,0.00624,0.09,24.3
2,33138,2,0.00624,0.09,24.3
2,33146,2,0.00624,0.09,24.3
2,33148,2,0.00624,0.09,24.3
2,33158,2,0.00624,0.09,24.3
2,33169,2,0.00624,0.09,24.3
2,33186,7,0.0218,0.17,22.5
2,33195,2,0.00624,0.09,24.3
2,33203,2,0.00624,0.09,24.3
2,33216,2,0.00624,0.09,24.3
2,33217,2,0.00624,0.09,24.3
2,33239,2572,8.02E+//0-,3.2,14
2,33309,2,0.00624,0.09,24.3
2,33334,2,0.00624,0.09,24.3
2,33345,2,0.00624,0.09,24.3
2,33356,588,1.83E+//0-,1.53,16.1
2,33365,2,0.00624,0.09,24.3
2,33367,2,0.00624,0.09,24.3
2,33377,2,0.00624,0.09,24.3
2,33379,2,0.00624,0.09,24.3
2,33396,6,0.0187,0.15,22.7
2,33426,2,0.00624,0.09,24.3
2,33437,2,0.00624,0.09,24.3
2,33444,2,0.00624,0.09,24.3
2,33447,2,0.00624,0.09,24.3
2,33457,5,0.0156,0.14,23
2,33531,3,0.00935,0.11,23.7
2,33532,2,0.00624,0.09,24.3
2,33544,10,0.0312,0.2,22
2,33560,2,0.00624,0.09,24.3
2,33581,2,0.00624,0.09,24.3
2,33588,2,0.00624,0.09,24.3
2,33591,3,0.00935,0.11,23.7
2,33606,2,0.00624,0.09,24.3
2,33614,3,0.00935,0.11,23.7
2,33649,2,0.00624,0.09,24.3
2,33650,240,0.748,0.98,17.4
2,33671,2,0.00624,0.09,24.3
2,33673,4,0.0125,0.13,23.3
2,33676,2,0.00624,0.09,24.3
2,33683,2,0.00624,0.09,24.3
2,33721,2,0.00624,0.09,24.3
2,33740,2,0.00624,0.09,24.3
2,33741,2,0.00624,0.09,24.3
2,33744,2,0.00624,0.09,24.3
2,33755,2,0.00624,0.09,24.3
2,33765,5,0.0156,0.14,23
2,33766,2,0.00624,0.09,24.3
2,33767,2,0.00624,0.09,24.3
2,33783,48,0.15,0.44,19.7
2,33802,3,0.00935,0.11,23.7
2,33806,2,0.00624,0.09,24.3
2,33830,3,0.00935,0.11,23.7
2,33836,2,0.00624,0.09,24.3
2,33840,2,0.00624,0.09,24.3
2,33846,2,0.00624,0.09,24.3
2,33849,2,0.00624,0.09,24.3
2,33850,2,0.00624,0.09,24.3
2,33882,9,0.0281,0.19,22.1
2,33897,3,0.00935,0.11,23.7
2,33918,2,0.00624,0.09,24.3
2,33942,731,2.28E+//0-,1.7,15.8
2,33947,5,0.0156,0.14,23
2,33961,2,0.00624,0.09,24.3
2,33968,174,0.543,0.83,17.9
2,33978,3,0.00935,0.11,23.7
2,33984,2,0.00624,0.09,24.3
2,33993,7,0.0218,0.17,22.5
2,34006,2,0.00624,0.09,24.3
2,34016,2,0.00624,0.09,24.3
2,34031,5,0.0156,0.14,23
2,34048,2,0.00624,0.09,24.3
2,34059,2,0.00624,0.09,24.3
2,34072,2,0.00624,0.09,24.3
2,34093,2,0.00624,0.09,24.3
2,34101,2,0.00624,0.09,24.3
2,34102,13,0.0405,0.23,21.6
2,34113,2,0.00624,0.09,24.3
2,34117,5,0.0156,0.14,23
2,34128,2,0.00624,0.09,24.3
2,34150,2,0.00624,0.09,24.3
2,34161,5,0.0156,0.14,23
2,34164,2,0.00624,0.09,24.3
2,34172,2,0.00624,0.09,24.3
2,34174,3,0.00935,0.11,23.7
2,34198,3,0.00935,0.11,23.7
2,34204,2,0.00624,0.09,24.3
2,34235,10,0.0312,0.2,22
2,34266,2,0.00624,0.09,24.3
2,34275,2,0.00624,0.09,24.3
2,34294,2,0.00624,0.09,24.3
2,34337,2,0.00624,0.09,24.3
2,34406,2,0.00624,0.09,24.3
2,34409,2,0.00624,0.09,24.3
2,34412,2,0.00624,0.09,24.3
2,34429,2,0.00624,0.09,24.3
2,34440,17,0.053,0.26,21.2
2,34449,2,0.00624,0.09,24.3
2,34462,2,0.00624,0.09,24.3
2,34466,2,0.00624,0.09,24.3
2,34474,2,0.00624,0.09,24.3
2,34484,2,0.00624,0.09,24.3
2,34505,2,0.00624,0.09,24.3
2,34519,2,0.00624,0.09,24.3
2,34528,2,0.00624,0.09,24.3
2,34529,2,0.00624,0.09,24.3
2,34530,2,0.00624,0.09,24.3
2,34545,2,0.00624,0.09,24.3
2,34564,2,0.00624,0.09,24.3
2,34576,2,0.00624,0.09,24.3
2,34604,2,0.00624,0.09,24.3
2,34619,2,0.00624,0.09,24.3
2,34657,11,0.0343,0.21,21.8
2,34672,2,0.00624,0.09,24.3
2,34688,2,0.00624,0.09,24.3
2,34700,2,0.00624,0.09,24.3
2,34727,4,0.0125,0.13,23.3
2,34729,2,0.00624,0.09,24.3
2,34737,2,0.00624,0.09,24.3
2,34747,4394,1.37E+//0-,4.18,13.2
2,34750,2,0.00624,0.09,24.3
2,34784,7,0.0218,0.17,22.5
2,34794,2,0.00624,0.09,24.3
2,34816,2,0.00624,0.09,24.3
2,34819,2,0.00624,0.09,24.3
2,34821,2,0.00624,0.09,24.3
2,34832,3,0.00935,0.11,23.7
2,34834,3,0.00935,0.11,23.7
2,34835,3,0.00935,0.11,23.7
2,34840,8,0.0249,0.18,22.3
2,34892,3,0.00935,0.11,23.7
2,34910,641,2.00E+//0-,1.6,16
2,34922,3,0.00935,0.11,23.7
2,34963,2,0.00624,0.09,24.3
2,34968,2,0.00624,0.09,24.3
2,34973,2,0.00624,0.09,24.3
2,34974,2,0.00624,0.09,24.3
2,34986,258,0.804,1.01,17.3
2,34987,6,0.0187,0.15,22.7
2,34995,3,0.00935,0.11,23.7
2,34999,2,0.00624,0.09,24.3
2,35008,3,0.00935,0.11,23.7
2,35023,5,0.0156,0.14,23
2,35034,4,0.0125,0.13,23.3
2,35040,2,0.00624,0.09,24.3
2,35049,2,0.00624,0.09,24.3
2,35050,2,0.00624,0.09,24.3
2,35084,2,0.00624,0.09,24.3
2,35088,3,0.00935,0.11,23.7
2,35093,2,0.00624,0.09,24.3
2,35106,4,0.0125,0.13,23.3
2,35119,2,0.00624,0.09,24.3
2,35123,3,0.00935,0.11,23.7
2,35139,2,0.00624,0.09,24.3
2,35198,3,0.00935,0.11,23.7
2,35200,3,0.00935,0.11,23.7
2,35222,2,0.00624,0.09,24.3
2,35235,2,0.00624,0.09,24.3
2,35249,3,0.00935,0.11,23.7
2,35268,2,0.00624,0.09,24.3
2,35305,3,0.00935,0.11,23.7
2,35306,4,0.0125,0.13,23.3
2,35347,2,0.00624,0.09,24.3
2,35348,2,0.00624,0.09,24.3
2,35370,2,0.00624,0.09,24.3
2,35376,2,0.00624,0.09,24.3
2,35406,2,0.00624,0.09,24.3
2,35410,5,0.0156,0.14,23
2,35415,2,0.00624,0.09,24.3
2,35416,2,0.00624,0.09,24.3
2,35423,2,0.00624,0.09,24.3
2,35424,4,0.0125,0.13,23.3
2,35432,77,0.24,0.55,19
2,35438,2,0.00624,0.09,24.3
2,35470,2,0.00624,0.09,24.3
2,35481,2,0.00624,0.09,24.3
2,35516,3,0.00935,0.11,23.7
2,35520,9,0.0281,0.19,22.1
2,35522,2,0.00624,0.09,24.3
2,35526,2,0.00624,0.09,24.3
2,35569,2,0.00624,0.09,24.3
2,35577,2,0.00624,0.09,24.3
2,35581,3,0.00935,0.11,23.7
2,35626,2,0.00624,0.09,24.3
2,35717,2,0.00624,0.09,24.3
2,35733,2,0.00624,0.09,24.3
2,35735,5,0.0156,0.14,23
2,35736,2,0.00624,0.09,24.3
2,35757,2,0.00624,0.09,24.3
2,35782,2,0.00624,0.09,24.3
2,35807,2,0.00624,0.09,24.3
2,35841,2,0.00624,0.09,24.3
2,35844,2,0.00624,0.09,24.3
2,35865,5,0.0156,0.14,23
2,35885,4,0.0125,0.13,23.3
2,35896,10,0.0312,0.2,22
2,35897,3,0.00935,0.11,23.7
2,35997,2,0.00624,0.09,24.3
2,36002,2,0.00624,0.09,24.3
2,36009,2,0.00624,0.09,24.3
2,36023,3,0.00935,0.11,23.7
2,36038,2,0.00624,0.09,24.3
2,36046,4,0.0125,0.13,23.3
2,36134,3,0.00935,0.11,23.7
2,36140,2,0.00624,0.09,24.3
2,36144,2,0.00624,0.09,24.3
2,36147,2,0.00624,0.09,24.3
2,36156,3,0.00935,0.11,23.7
2,36203,2,0.00624,0.09,24.3
2,36208,2,0.00624,0.09,24.3
2,36209,2,0.00624,0.09,24.3
2,36215,2,0.00624,0.09,24.3
2,36243,4,0.0125,0.13,23.3
2,36263,3,0.00935,0.11,23.7
2,36264,2,0.00624,0.09,24.3
2,36277,62,0.193,0.5,19.4
2,36280,2,0.00624,0.09,24.3
2,36294,2,0.00624,0.09,24.3
2,36313,2,0.00624,0.09,24.3
2,36335,2,0.00624,0.09,24.3
2,36337,2,0.00624,0.09,24.3
2,36346,2,0.00624,0.09,24.3
2,36359,2,0.00624,0.09,24.3
2,36368,2,0.00624,0.09,24.3
2,36375,2,0.00624,0.09,24.3
2,36410,2,0.00624,0.09,24.3
2,36421,11,0.0343,0.21,21.8
2,36434,2,0.00624,0.09,24.3
2,36442,2,0.00624,0.09,24.3
2,36445,5,0.0156,0.14,23
2,36483,2,0.00624,0.09,24.3
2,36489,2,0.00624,0.09,24.3
2,36492,2,0.00624,0.09,24.3
2,36497,4,0.0125,0.13,23.3
2,36524,2,0.00624,0.09,24.3
2,36526,96,0.299,0.62,18.7
2,36540,4588,1.43E+//0-,4.27,13.1
2,36562,2,0.00624,0.09,24.3
2,36566,2,0.00624,0.09,24.3
2,36582,3,0.00935,0.11,23.7
2,36583,4,0.0125,0.13,23.3
2,36595,2,0.00624,0.09,24.3
2,36602,3,0.00935,0.11,23.7
2,36603,2,0.00624,0.09,24.3
2,36604,3,0.00935,0.11,23.7
2,36614,2,0.00624,0.09,24.3
2,36627,2,0.00624,0.09,24.3
2,36629,2,0.00624,0.09,24.3
2,36648,2,0.00624,0.09,24.3
2,36657,2,0.00624,0.09,24.3
2,36658,2,0.00624,0.09,24.3
2,36678,17,0.053,0.26,21.2
2,36712,2,0.00624,0.09,24.3
2,36732,2,0.00624,0.09,24.3
2,36734,3,0.00935,0.11,23.7
2,36744,5,0.0156,0.14,23
2,36762,2,0.00624,0.09,24.3
2,36776,2,0.00624,0.09,24.3
2,36812,2,0.00624,0.09,24.3
2,36813,4,0.0125,0.13,23.3
2,36885,2,0.00624,0.09,24.3
2,36922,2,0.00624,0.09,24.3
2,36923,3,0.00935,0.11,23.7
2,36930,5,0.0156,0.14,23
2,36949,786,2.45E+//0-,1.77,15.7
2,36950,4,0.0125,0.13,23.3
2,36972,3,0.00935,0.11,23.7
2,36989,2,0.00624,0.09,24.3
2,37016,2,0.00624,0.09,24.3
2,37019,2,0.00624,0.09,24.3
2,37024,2,0.00624,0.09,24.3
2,37033,2,0.00624,0.09,24.3
2,37041,3,0.00935,0.11,23.7
2,37060,2,0.00624,0.09,24.3
2,37061,2,0.00624,0.09,24.3
2,37062,2,0.00624,0.09,24.3
2,37066,2,0.00624,0.09,24.3
2,37106,2,0.00624,0.09,24.3
2,37120,2,0.00624,0.09,24.3
2,37130,2,0.00624,0.09,24.3
2,37145,9,0.0281,0.19,22.1
2,37154,16,0.0499,0.25,21.3
2,37166,2,0.00624,0.09,24.3
2,37190,2,0.00624,0.09,24.3
2,37222,2,0.00624,0.09,24.3
2,37242,12,0.0374,0.22,21.7
2,37252,2,0.00624,0.09,24.3
2,37254,7,0.0218,0.17,22.5
2,37262,2,0.00624,0.09,24.3
2,37286,2239,6.98E+//0-,2.98,14.2
2,37314,24,0.0748,0.31,20.7
2,37318,2,0.00624,0.09,24.3
2,37352,2,0.00624,0.09,24.3
2,37355,2,0.00624,0.09,24.3
2,37357,2,0.00624,0.09,24.3
2,37359,2,0.00624,0.09,24.3
2,37370,2,0.00624,0.09,24.3
2,37372,77,0.24,0.55,19
2,37383,8,0.0249,0.18,22.3
2,37429,2,0.00624,0.09,24.3
2,37481,2,0.00624,0.09,24.3
2,37518,2,0.00624,0.09,24.3
2,37539,2,0.00624,0.09,24.3
2,37584,2,0.00624,0.09,24.3
2,37589,2,0.00624,0.09,24.3
2,37598,2,0.00624,0.09,24.3
2,37611,5,0.0156,0.14,23
2,37614,2,0.00624,0.09,24.3
2,37635,4,0.0125,0.13,23.3
2,37663,1478,4.61E+//0-,2.42,14.8
2,37685,3,0.00935,0.11,23.7
2,37720,2,0.00624,0.09,24.3
2,37759,2,0.00624,0.09,24.3
2,37829,2,0.00624,0.09,24.3
2,37850,3340,1.04E+//0-,3.64,13.6
2,37864,2,0.00624,0.09,24.3
2,37888,2,0.00624,0.09,24.3
2,37889,2,0.00624,0.09,24.3
2,37893,2,0.00624,0.09,24.3
2,37907,2,0.00624,0.09,24.3
2,37931,2,0.00624,0.09,24.3
2,37933,2,0.00624,0.09,24.3
2,37948,4,0.0125,0.13,23.3
2,37967,6,0.0187,0.15,22.7
2,37968,2,0.00624,0.09,24.3
2,37969,2,0.00624,0.09,24.3
2,37972,3,0.00935,0.11,23.7
2,38024,51,0.159,0.45,19.6
2,38057,2,0.00624,0.09,24.3
2,38069,7,0.0218,0.17,22.5
2,38089,3,0.00935,0.11,23.7
2,38117,2,0.00624,0.09,24.3
2,38157,3,0.00935,0.11,23.7
2,38158,2,0.00624,0.09,24.3
2,38163,3,0.00935,0.11,23.7
2,38172,4,0.0125,0.13,23.3
2,38214,2,0.00624,0.09,24.3
2,38225,2,0.00624,0.09,24.3
2,38227,2,0.00624,0.09,24.3
2,38237,2,0.00624,0.09,24.3
2,38263,2,0.00624,0.09,24.3
2,38265,2,0.00624,0.09,24.3
2,38301,2,0.00624,0.09,24.3
2,38302,4,0.0125,0.13,23.3
2,38304,2,0.00624,0.09,24.3
2,38310,2,0.00624,0.09,24.3
2,38323,3,0.00935,0.11,23.7
2,38324,2,0.00624,0.09,24.3
2,38325,3,0.00935,0.11,23.7
2,38327,18,0.0561,0.27,21.1
2,38362,2,0.00624,0.09,24.3
2,38365,66,0.206,0.51,19.3
2,38371,2,0.00624,0.09,24.3
2,38406,2,0.00624,0.09,24.3
2,38427,2,0.00624,0.09,24.3
2,38433,2,0.00624,0.09,24.3
2,38448,2,0.00624,0.09,24.3
2,38449,2,0.00624,0.09,24.3
2,38466,2,0.00624,0.09,24.3
2,38493,2,0.00624,0.09,24.3
2,38498,2,0.00624,0.09,24.3
2,38526,2,0.00624,0.09,24.3
2,38561,2,0.00624,0.09,24.3
2,38569,2,0.00624,0.09,24.3
2,38583,4,0.0125,0.13,23.3
2,38593,3773,1.18E+//0-,3.87,13.4
2,38594,2,0.00624,0.09,24.3
2,38607,2,0.00624,0.09,24.3
2,38616,2,0.00624,0.09,24.3
2,38617,2,0.00624,0.09,24.3
2,38658,2,0.00624,0.09,24.3
2,38665,2,0.00624,0.09,24.3
2,38688,317,0.988,1.12,17
2,38689,2,0.00624,0.09,24.3
2,38746,2,0.00624,0.09,24.3
2,38748,3,0.00935,0.11,23.7
2,38757,36,0.112,0.38,20.1
2,38762,3,0.00935,0.11,23.7
2,38768,2,0.00624,0.09,24.3
2,38770,2,0.00624,0.09,24.3
2,38772,2,0.00624,0.09,24.3
2,38782,2,0.00624,0.09,24.3
2,38793,5,0.0156,0.14,23
2,38801,2,0.00624,0.09,24.3
2,38802,2,0.00624,0.09,24.3
2,38803,2,0.00624,0.09,24.3
2,38811,2,0.00624,0.09,24.3
2,38864,2,0.00624,0.09,24.3
2,38876,2,0.00624,0.09,24.3
2,38880,2,0.00624,0.09,24.3
2,38892,5,0.0156,0.14,23
2,38912,4,0.0125,0.13,23.3
2,38914,2,0.00624,0.09,24.3
2,38943,2,0.00624,0.09,24.3
2,38963,4,0.0125,0.13,23.3
2,38972,2,0.00624,0.09,24.3
2,38980,7,0.0218,0.17,22.5
2,38992,2,0.00624,0.09,24.3
2,39026,2,0.00624,0.09,24.3
2,39060,3,0.00935,0.11,23.7
2,39075,2,0.00624,0.09,24.3
2,39101,2,0.00624,0.09,24.3
2,39107,2,0.00624,0.09,24.3
2,39112,2,0.00624,0.09,24.3
2,39135,6,0.0187,0.15,22.7
2,39150,3,0.00935,0.11,23.7
2,39166,2,0.00624,0.09,24.3
2,39179,2,0.00624,0.09,24.3
2,39204,2,0.00624,0.09,24.3
2,39234,2,0.00624,0.09,24.3
2,39356,2,0.00624,0.09,24.3
2,39359,3,0.00935,0.11,23.7
2,39387,3,0.00935,0.11,23.7
2,39416,2,0.00624,0.09,24.3
2,39436,2,0.00624,0.09,24.3
2,39467,51,0.159,0.45,19.6
2,39542,3,0.00935,0.11,23.7
2,39579,2,0.00624,0.09,24.3
2,39631,2,0.00624,0.09,24.3
2,39649,2,0.00624,0.09,24.3
2,39673,3,0.00935,0.11,23.7
2,39675,27,0.0842,0.33,20.5
2,39729,66,0.206,0.51,19.3
2,39799,5,0.0156,0.14,23
2,39815,2,0.00624,0.09,24.3
2,39822,2,0.00624,0.09,24.3
2,39828,2,0.00624,0.09,24.3
2,39884,3,0.00935,0.11,23.7
2,39939,3,0.00935,0.11,23.7
2,39956,3,0.00935,0.11,23.7
2,40008,2,0.00624,0.09,24.3
2,40018,5,0.0156,0.14,23
2,40055,3,0.00935,0.11,23.7
2,40090,83,0.259,0.57,18.9
2,40096,2,0.00624,0.09,24.3
2,40104,2,0.00624,0.09,24.3
2,40112,2,0.00624,0.09,24.3
2,40118,2,0.00624,0.09,24.3
2,40133,4,0.0125,0.13,23.3
2,40135,2,0.00624,0.09,24.3
2,40194,2,0.00624,0.09,24.3
2,40199,1390,4.33E+//0-,2.35,14.9
2,40202,2,0.00624,0.09,24.3
2,40209,2,0.00624,0.09,24.3
2,40226,2,0.00624,0.09,24.3
2,40283,2,0.00624,0.09,24.3
2,40285,3,0.00935,0.11,23.7
2,40291,3,0.00935,0.11,23.7
2,40295,3,0.00935,0.11,23.7
2,40296,2,0.00624,0.09,24.3
2,40300,2,0.00624,0.09,24.3
2,40315,3,0.00935,0.11,23.7
2,40323,3,0.00935,0.11,23.7
2,40369,3,0.00935,0.11,23.7
2,40419,2,0.00624,0.09,24.3
2,40469,2,0.00624,0.09,24.3
2,40476,2,0.00624,0.09,24.3
2,40478,2,0.00624,0.09,24.3
2,40482,4,0.0125,0.13,23.3
2,40489,2,0.00624,0.09,24.3
2,40514,2,0.00624,0.09,24.3
2,40525,2,0.00624,0.09,24.3
2,40540,2,0.00624,0.09,24.3
2,40550,2,0.00624,0.09,24.3
2,40565,2,0.00624,0.09,24.3
2,40566,299,0.932,1.09,17.1
2,40570,4,0.0125,0.13,23.3
2,40571,5,0.0156,0.14,23
2,40580,2,0.00624,0.09,24.3
2,40615,3,0.00935,0.11,23.7
2,40655,2,0.00624,0.09,24.3
2,40719,132,0.412,0.72,18.3
2,40725,3,0.00935,0.11,23.7
2,40811,14,0.0437,0.24,21.5
2,40815,4,0.0125,0.13,23.3
2,40835,402,1.25E+//0-,1.26,16.7
2,40847,2,0.00624,0.09,24.3
2,40895,2,0.00624,0.09,24.3
2,40921,2,0.00624,0.09,24.3
2,40934,2,0.00624,0.09,24.3
2,40943,3,0.00935,0.11,23.7
2,40965,99,0.309,0.63,18.7
2,40971,3,0.00935,0.11,23.7
2,40985,2,0.00624,0.09,24.3
2,41011,2,0.00624,0.09,24.3
2,41015,2,0.00624,0.09,24.3
2,41031,2,0.00624,0.09,24.3
2,41032,2,0.00624,0.09,24.3
2,41054,2,0.00624,0.09,24.3
2,41071,2,0.00624,0.09,24.3
2,41087,2,0.00624,0.09,24.3
2,41093,4,0.0125,0.13,23.3
2,41112,3,0.00935,0.11,23.7
2,41118,82,0.256,0.57,18.9
2,41136,2,0.00624,0.09,24.3
2,41183,3,0.00935,0.11,23.7
2,41184,99,0.309,0.63,18.7
2,41235,2,0.00624,0.09,24.3
2,41237,3,0.00935,0.11,23.7
2,41244,2,0.00624,0.09,24.3
2,41277,2,0.00624,0.09,24.3
2,41279,2,0.00624,0.09,24.3
2,41317,18,0.0561,0.27,21.1
2,41333,2,0.00624,0.09,24.3
2,41349,2,0.00624,0.09,24.3
2,41399,2,0.00624,0.09,24.3
2,41412,2,0.00624,0.09,24.3
2,41434,2,0.00624,0.09,24.3
2,41435,2,0.00624,0.09,24.3
2,41454,2,0.00624,0.09,24.3
2,41458,20,0.0624,0.28,21
2,41516,2,0.00624,0.09,24.3
2,41517,2,0.00624,0.09,24.3
2,41518,4,0.0125,0.13,23.3
2,41524,3,0.00935,0.11,23.7
2,41532,2,0.00624,0.09,24.3
2,41542,4,0.0125,0.13,23.3
2,41607,2,0.00624,0.09,24.3
2,41611,57,0.178,0.48,19.5
2,41628,2,0.00624,0.09,24.3
2,41683,120,0.374,0.69,18.4
2,41685,2,0.00624,0.09,24.3
2,41710,2,0.00624,0.09,24.3
2,41728,2,0.00624,0.09,24.3
2,41762,3,0.00935,0.11,23.7
2,41774,2,0.00624,0.09,24.3
2,41792,2,0.00624,0.09,24.3
2,41794,2,0.00624,0.09,24.3
2,41803,2,0.00624,0.09,24.3
2,41855,2,0.00624,0.09,24.3
2,41867,5,0.0156,0.14,23
2,41868,5,0.0156,0.14,23
2,41871,3,0.00935,0.11,23.7
2,41874,2,0.00624,0.09,24.3
2,41902,2,0.00624,0.09,24.3
2,41911,2,0.00624,0.09,24.3
2,41913,2,0.00624,0.09,24.3
2,41922,2,0.00624,0.09,24.3
2,41930,2,0.00624,0.09,24.3
2,41942,56,0.175,0.47,19.5
2,41956,5,0.0156,0.14,23
2,41966,2,0.00624,0.09,24.3
2,41987,2,0.00624,0.09,24.3
2,42001,2,0.00624,0.09,24.3
2,42018,1277,3.98E+//0-,2.25,15
2,42052,2,0.00624,0.09,24.3
2,42055,1709,5.33E+//0-,2.6,14.6
2,42078,2,0.00624,0.09,24.3
2,42085,2,0.00624,0.09,24.3
2,42092,2,0.00624,0.09,24.3
2,42097,2,0.00624,0.09,24.3
2,42100,2,0.00624,0.09,24.3
2,42124,2,0.00624,0.09,24.3
2,42149,2,0.00624,0.09,24.3
2,42221,2,0.00624,0.09,24.3
2,42251,243,0.758,0.98,17.4
2,42259,2,0.00624,0.09,24.3
2,42268,2,0.00624,0.09,24.3
2,42278,2,0.00624,0.09,24.3
2,42303,2,0.00624,0.09,24.3
2,42309,3,0.00935,0.11,23.7
2,42310,2,0.00624,0.09,24.3
2,42354,2,0.00624,0.09,24.3
2,42374,314,0.979,1.12,17
2,42380,4,0.0125,0.13,23.3
2,42397,4,0.0125,0.13,23.3
2,42581,3,0.00935,0.11,23.7
2,42582,2,0.00624,0.09,24.3
2,42661,3,0.00935,0.11,23.7
2,42662,2,0.00624,0.09,24.3
2,42690,5,0.0156,0.14,23
2,42732,2,0.00624,0.09,24.3
2,42783,2,0.00624,0.09,24.3
2,42831,2,0.00624,0.09,24.3
2,42842,2,0.00624,0.09,24.3
2,42888,2,0.00624,0.09,24.3
2,42986,2,0.00624,0.09,24.3
2,43015,2,0.00624,0.09,24.3
2,43088,2,0.00624,0.09,24.3
2,43092,3,0.00935,0.11,23.7
2,43095,1672,5.21E+//0-,2.58,14.6
2,43152,2,0.00624,0.09,24.3
2,43173,3,0.00935,0.11,23.7
2,43174,2,0.00624,0.09,24.3
2,43226,102,0.318,0.64,18.6
2,43257,2,0.00624,0.09,24.3
2,43325,2,0.00624,0.09,24.3
2,43346,3,0.00935,0.11,23.7
2,43372,18,0.0561,0.27,21.1
2,43411,2,0.00624,0.09,24.3
2,43412,2,0.00624,0.09,24.3
2,43429,2,0.00624,0.09,24.3
