cm,kg
178,62
167,70
160,49
153,65
170,67
165,55
166.5,55
182,89
179,70
167,66
160,60
168,58
164,50
177,82
165,52
182,80
175,53
150,50
173.376,59.4
165,60
159,66
178,71
161,65
170,60
167,54
176,55
178,70
180,75
175,62
155,45
182,80
177,69
400,60
168,92.5
177,79
