cm,kg
171,65
155.448,45
177,70
169,62
172,70
178,78
178,65
180,70
174,64
177,74
177.8,64
179,69
172,67
166,54
165,68
188,75
160,42
152,54
164,57
169,80
177.8,79
175,69
180.34,73
177,85
170,55
167,68
174,74
170,57
170,44.5
182,75
